,arrivals
2010-06-01 18:00:00,9
2010-06-01 18:10:00,3
2010-06-01 18:20:00,5
2010-06-01 18:30:00,4
2010-06-01 18:40:00,5
2010-06-01 18:50:00,7
2010-06-01 19:00:00,5
2010-06-01 19:10:00,4
2010-06-01 19:20:00,4
2010-06-01 19:30:00,5
2010-06-02 18:00:00,6
2010-06-02 18:10:00,4
2010-06-02 18:20:00,7
2010-06-02 18:30:00,4
2010-06-02 18:40:00,3
2010-06-02 18:50:00,6
2010-06-02 19:00:00,8
2010-06-02 19:10:00,5
2010-06-02 19:20:00,2
2010-06-02 19:30:00,1
2010-06-03 18:00:00,0
2010-06-03 18:10:00,0
2010-06-03 18:20:00,0
2010-06-03 18:30:00,0
2010-06-03 18:40:00,0
2010-06-03 18:50:00,0
2010-06-03 19:00:00,0
2010-06-03 19:10:00,0
2010-06-03 19:20:00,0
2010-06-03 19:30:00,0
2010-06-04 18:00:00,3
2010-06-04 18:10:00,8
2010-06-04 18:20:00,8
2010-06-04 18:30:00,5
2010-06-04 18:40:00,4
2010-06-04 18:50:00,8
2010-06-04 19:00:00,7
2010-06-04 19:10:00,4
2010-06-04 19:20:00,7
2010-06-04 19:30:00,1
2010-06-05 18:00:00,7
2010-06-05 18:10:00,5
2010-06-05 18:20:00,5
2010-06-05 18:30:00,6
2010-06-05 18:40:00,7
2010-06-05 18:50:00,6
2010-06-05 19:00:00,3
2010-06-05 19:10:00,6
2010-06-05 19:20:00,2
2010-06-05 19:30:00,1
2010-06-06 18:00:00,4
2010-06-06 18:10:00,5
2010-06-06 18:20:00,3
2010-06-06 18:30:00,10
2010-06-06 18:40:00,5
2010-06-06 18:50:00,2
2010-06-06 19:00:00,8
2010-06-06 19:10:00,4
2010-06-06 19:20:00,6
2010-06-06 19:30:00,2
2010-06-07 18:00:00,11
2010-06-07 18:10:00,5
2010-06-07 18:20:00,3
2010-06-07 18:30:00,6
2010-06-07 18:40:00,7
2010-06-07 18:50:00,3
2010-06-07 19:00:00,7
2010-06-07 19:10:00,5
2010-06-07 19:20:00,5
2010-06-07 19:30:00,0
2010-06-08 18:00:00,6
2010-06-08 18:10:00,7
2010-06-08 18:20:00,5
2010-06-08 18:30:00,8
2010-06-08 18:40:00,2
2010-06-08 18:50:00,6
2010-06-08 19:00:00,5
2010-06-08 19:10:00,4
2010-06-08 19:20:00,5
2010-06-08 19:30:00,2
2010-06-09 18:00:00,0
2010-06-09 18:10:00,0
2010-06-09 18:20:00,0
2010-06-09 18:30:00,0
2010-06-09 18:40:00,0
2010-06-09 18:50:00,0
2010-06-09 19:00:00,0
2010-06-09 19:10:00,0
2010-06-09 19:20:00,0
2010-06-09 19:30:00,0
2010-06-10 18:00:00,7
2010-06-10 18:10:00,5
2010-06-10 18:20:00,7
2010-06-10 18:30:00,5
2010-06-10 18:40:00,4
2010-06-10 18:50:00,6
2010-06-10 19:00:00,6
2010-06-10 19:10:00,10
2010-06-10 19:20:00,9
2010-06-10 19:30:00,3
2010-06-11 18:00:00,6
2010-06-11 18:10:00,4
2010-06-11 18:20:00,5
2010-06-11 18:30:00,10
2010-06-11 18:40:00,4
2010-06-11 18:50:00,2
2010-06-11 19:00:00,6
2010-06-11 19:10:00,7
2010-06-11 19:20:00,8
2010-06-11 19:30:00,3
2010-06-12 18:00:00,3
2010-06-12 18:10:00,4
2010-06-12 18:20:00,5
2010-06-12 18:30:00,5
2010-06-12 18:40:00,8
2010-06-12 18:50:00,1
2010-06-12 19:00:00,9
2010-06-12 19:10:00,4
2010-06-12 19:20:00,2
2010-06-12 19:30:00,3
2010-06-13 18:00:00,6
2010-06-13 18:10:00,3
2010-06-13 18:20:00,5
2010-06-13 18:30:00,8
2010-06-13 18:40:00,5
2010-06-13 18:50:00,5
2010-06-13 19:00:00,5
2010-06-13 19:10:00,5
2010-06-13 19:20:00,7
2010-06-13 19:30:00,6
2010-06-14 18:00:00,6
2010-06-14 18:10:00,5
2010-06-14 18:20:00,6
2010-06-14 18:30:00,7
2010-06-14 18:40:00,4
2010-06-14 18:50:00,9
2010-06-14 19:00:00,2
2010-06-14 19:10:00,7
2010-06-14 19:20:00,5
2010-06-14 19:30:00,5
2010-06-15 18:00:00,11
2010-06-15 18:10:00,5
2010-06-15 18:20:00,4
2010-06-15 18:30:00,6
2010-06-15 18:40:00,5
2010-06-15 18:50:00,6
2010-06-15 19:00:00,8
2010-06-15 19:10:00,9
2010-06-15 19:20:00,4
2010-06-15 19:30:00,5
2010-06-16 18:00:00,7
2010-06-16 18:10:00,7
2010-06-16 18:20:00,7
2010-06-16 18:30:00,4
2010-06-16 18:40:00,5
2010-06-16 18:50:00,7
2010-06-16 19:00:00,6
2010-06-16 19:10:00,6
2010-06-16 19:20:00,5
2010-06-16 19:30:00,4
2010-06-17 18:00:00,5
2010-06-17 18:10:00,8
2010-06-17 18:20:00,5
2010-06-17 18:30:00,6
2010-06-17 18:40:00,7
